id	title	company	company_slug	location	type	posted	role_category	seniority	culture_values	glassdoor_rating	apply_url	profile_url	jobs_filter_url	post_count	last_posted	status	og_image
3670	Senior Data Scientist, Platform (Integrity)	Airbnb	airbnb	United States	Full-time · Remote	2w ago	Engineering	Senior	Remote-Friendly, Work-Life Balance, Diverse & Inclusive, Open Source Culture, Strong Comp & Equity	4.1	https://careers.airbnb.com/positions/7594971?gh_jid=7594971&ref=jobsbyculture.com	https://jobsbyculture.com/companies/airbnb	https://jobsbyculture.com/jobs?company=airbnb			expired	https://jobsbyculture.com/api/og?type=company&slug=airbnb
3671	Staff / Senior Software Engineer, Inference	Anthropic	anthropic	San Francisco, CA | New York City, NY | Seattle, WA	Full-time	2d ago	Engineering	Staff / Principal	Ethical AI / Safety, Learning & Growth, Strong Comp & Equity, Mission-Driven, Engineering-Driven, Flat Hierarchy	4.4	https://job-boards.greenhouse.io/anthropic/jobs/4951696008?ref=jobsbyculture.com	https://jobsbyculture.com/companies/anthropic	https://jobsbyculture.com/jobs?company=anthropic			pending	https://jobsbyculture.com/api/og?type=company&slug=anthropic
3672	Senior Staff Software Engineer- Search Quality	Databricks	databricks	Bengaluru, India	Full-time	1w ago	Engineering	Staff / Principal	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact	4.1	https://databricks.com/company/careers/open-positions/job?gh_jid=8439350002?ref=jobsbyculture.com	https://jobsbyculture.com/companies/databricks	https://jobsbyculture.com/jobs?company=databricks			pending	https://jobsbyculture.com/api/og?type=company&slug=databricks
3673	Recruiter, Bridge	Stripe	stripe	San Francisco	Full-time	1d ago	HR / People	Mid-Level	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparency	4	https://stripe.com/jobs/search?gh_jid=7650184?ref=jobsbyculture.com	https://jobsbyculture.com/companies/stripe	https://jobsbyculture.com/jobs?company=stripe			pending	https://jobsbyculture.com/api/og?type=company&slug=stripe
3674	Operations Engineer, Fleet Reliability	CoreWeave	coreweave	 New York, NY /Plano, TX /  Bellevue, WA 	Full-time	3w+ ago	Engineering	Mid-Level	Engineering-Driven, Ship Fast & Iterate, Strong Comp & Equity, Wears Many Hats	3.6	https://coreweave.com/careers/job?4617382006&board=coreweave&gh_jid=4617382006&ref=jobsbyculture.com	https://jobsbyculture.com/companies/coreweave	https://jobsbyculture.com/jobs?company=coreweave			expired	https://jobsbyculture.com/api/og?type=company&slug=coreweave
3675	Senior Enablement Manager	Airbnb	airbnb	United States	Full-time · Remote	2w ago	Other	Lead / Manager	Remote-Friendly, Work-Life Balance, Diverse & Inclusive, Open Source Culture, Strong Comp & Equity	4.1	https://careers.airbnb.com/positions/7602771?gh_jid=7602771&ref=jobsbyculture.com	https://jobsbyculture.com/companies/airbnb	https://jobsbyculture.com/jobs?company=airbnb			expired	https://jobsbyculture.com/api/og?type=company&slug=airbnb
3676	Staff Software Engineer, AI Reliability Engineering	Anthropic	anthropic	Dublin, IE	Full-time	2d ago	Engineering	Staff / Principal	Ethical AI / Safety, Learning & Growth, Strong Comp & Equity, Mission-Driven, Engineering-Driven, Flat Hierarchy	4.4	https://job-boards.greenhouse.io/anthropic/jobs/5101169008?ref=jobsbyculture.com	https://jobsbyculture.com/companies/anthropic	https://jobsbyculture.com/jobs?company=anthropic			pending	https://jobsbyculture.com/api/og?type=company&slug=anthropic
3677	Senior Staff Software Engineer - Security Infrastructure	Databricks	databricks	Bellevue, Washington	Full-time	1w ago	Engineering	Staff / Principal	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact	4.1	https://databricks.com/company/careers/open-positions/job?gh_jid=7274902002?ref=jobsbyculture.com	https://jobsbyculture.com/companies/databricks	https://jobsbyculture.com/jobs?company=databricks			pending	https://jobsbyculture.com/api/og?type=company&slug=databricks
3678	Recruiter (DASH) - (Fixed Term Contract)	Stripe	stripe	Chicago, Atlanta	Full-time	1d ago	HR / People	Mid-Level	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparency	4	https://stripe.com/jobs/search?gh_jid=7526010?ref=jobsbyculture.com	https://jobsbyculture.com/companies/stripe	https://jobsbyculture.com/jobs?company=stripe			pending	https://jobsbyculture.com/api/og?type=company&slug=stripe
3679	Operations Engineering Manager, Fleet Reliability	CoreWeave	coreweave	Livingston, NJ / Richmond, VA / Las Vegas, NV / Bellevue, WA	Full-time	3w+ ago	Operations	Lead / Manager	Engineering-Driven, Ship Fast & Iterate, Strong Comp & Equity, Wears Many Hats	3.6	https://coreweave.com/careers/job?4553803006&board=coreweave&gh_jid=4553803006&ref=jobsbyculture.com	https://jobsbyculture.com/companies/coreweave	https://jobsbyculture.com/jobs?company=coreweave			expired	https://jobsbyculture.com/api/og?type=company&slug=coreweave
