PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Redirect URL,Redirect URL code,No. of all inlinks
,https://boards.greenhouse.io/figma/jobs/5819866004?gh_jid=5819866004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5819866004?gh_jid=5819866004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://stripe.com/jobs/search?gh_jid=7630038%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/creative-producer-events/7630038,,2
,https://careers.airbnb.com/positions/7590319?gh_jid=7590319%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7590319/?gh_jid=7590319%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,5
,https://careers.airbnb.com/positions/7707946?gh_jid=7707946%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7707946/?gh_jid=7707946%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,6
,https://stripe.com/jobs/search?gh_jid=7546284%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/account-executive-ai-sales/7546284,,4
,https://careers.airbnb.com/positions/7698274?gh_jid=7698274%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7698274/?gh_jid=7698274%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://careers.airbnb.com/positions/7613446?gh_jid=7613446%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7613446/?gh_jid=7613446%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,6
,https://careers.airbnb.com/positions/7652631?gh_jid=7652631%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7652631/?gh_jid=7652631%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,7
,https://careers.airbnb.com/positions/7705262?gh_jid=7705262%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7705262/?gh_jid=7705262%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,2
,https://careers.airbnb.com/positions/7717035?gh_jid=7717035%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7717035/?gh_jid=7717035%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,5
,https://databricks.com/company/careers/open-positions/job?gh_jid=7601580002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=7601580002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://databricks.com/company/careers/open-positions/job?gh_jid=8431935002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8431935002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,7
,https://stripe.com/jobs/search?gh_jid=7573680%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/marketing-operations-associate-automation/7573680,,1
,https://databricks.com/company/careers/open-positions/job?gh_jid=8187465002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8187465002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,7
,https://careers.airbnb.com/positions/6852954?gh_jid=6852954%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/6852954/?gh_jid=6852954%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,4
,https://job-boards.greenhouse.io/deepmind/jobs/7614597?ref=jobsbyculture.com,,,false,302,,1,https://job-boards.greenhouse.io/deepmind?error=true,,1
,https://stripe.com/jobs/search?gh_jid=7684149%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/head-of-communications-apac/7684149,,1
,https://www.splunk.com/en_us/careers.html,,,false,301,,1,https://careers.cisco.com/global/en/splunk,,1
,https://boards.greenhouse.io/cloudflare/jobs/7729719?gh_jid=7729719%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/cloudflare/jobs/7729719?gh_jid=7729719%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://stripe.com/jobs/search?gh_jid=7545600%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/account-manager-scale-bridge/7545600,,1
,https://databricks.com/company/careers/open-positions/job?gh_jid=7434541002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=7434541002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://stripe.com/jobs/search?gh_jid=7657938%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/product-strategy-operations-link/7657938,,1
,https://boards.greenhouse.io/cloudflare/jobs/7668989?gh_jid=7668989%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/cloudflare/jobs/7668989?gh_jid=7668989%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://www.snowflake.com/careers,,,false,301,,1,https://www.snowflake.com/careers/,,1
,https://boards.greenhouse.io/cloudflare/jobs/7185996?gh_jid=7185996%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/cloudflare/jobs/7185996?gh_jid=7185996%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://boards.greenhouse.io/figma/jobs/5574247004?gh_jid=5574247004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/figma/jobs/5574247004?gh_jid=5574247004%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://paytaxfa.st/?ref=jobsbyculture.com,,text/plain,false,308,,1,https://www.paytaxfa.st/?ref=jobsbyculture.com,,1
,https://careers.airbnb.com/positions/7457616?gh_jid=7457616%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7457616/?gh_jid=7457616%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,7
,https://careers.airbnb.com/positions/6717690?gh_jid=6717690%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/6717690/?gh_jid=6717690%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,6
